Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2018,North Dakota State,MVC,FR,QB,2,8,82,10.3,2
2019,North Dakota State,MVC,SO,QB,16,169,1100,6.5,14
