Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2015,Ohio State,Big Ten,FR,QB,,,,,,,,,,
2016,Ohio State,Big Ten,FR,QB,5,22,28,78.6,226,8.1,9.5,2,0,169.9
2017,Ohio State,Big Ten,SO,QB,5,7,11,63.6,61,5.5,5.5,0,0,110.2
2018,LSU,SEC,JR,QB,13,219,379,57.8,2894,7.6,7.9,16,5,133.2
2019,LSU,SEC,SR,QB,15,402,527,76.3,5671,10.8,12.5,60,6,202
