Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2015,Ohio State,Big Ten,FR,QB,0,0,0,0,0
2016,Ohio State,Big Ten,FR,QB,5,12,58,4.8,1
2017,Ohio State,Big Ten,SO,QB,5,3,-5,-1.7,0
2018,LSU,SEC,JR,QB,13,128,399,3.1,7
2019,LSU,SEC,SR,QB,15,115,368,3.2,5
