Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2018,North Dakota State,MVC,FR,QB,2,1,1,100,12,12,12,0,0,200.8
2019,North Dakota State,MVC,SO,QB,16,192,287,66.9,2786,9.7,11.7,28,0,180.6
