Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2018,Brigham Young,Ind,FR,QB,9,120,182,65.9,1578,8.7,9.2,12,3,157.2
2019,Brigham Young,Ind,SO,QB,9,199,319,62.4,2382,7.5,6.9,11,9,130.8
2020,Brigham Young,Ind,JR,QB,12,247,336,73.5,3692,11,12.6,33,3,196.4
