Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2018,Georgia,SEC,FR,QB,12,27,39,69.2,328,8.4,10.5,4,0,173.7
2019,Ohio State,Big Ten,SO,QB,14,238,354,67.2,3273,9.2,11.2,41,3,181.4
2020,Ohio State,Big Ten,JR,QB,8,158,225,70.2,2100,9.3,10.1,22,6,175.6
