Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2018,Georgia,SEC,FR,QB,12,42,266,6.3,4
2019,Ohio State,Big Ten,SO,QB,14,137,484,3.5,10
2020,Ohio State,Big Ten,JR,QB,8,81,383,4.7,5
