Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2018,Clemson,ACC,FR,QB,15,60,177,3,1
2019,Clemson,ACC,SO,QB,15,103,563,5.5,9
2020,Clemson,ACC,JR,QB,10,68,203,3,8
