Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2018,Clemson,ACC,FR,QB,15,259,397,65.2,3280,8.3,9.3,30,4,157.6
2019,Clemson,ACC,SO,QB,15,268,407,65.8,3665,9,9.9,36,8,166.7
2020,Clemson,ACC,JR,QB,10,231,334,69.2,3153,9.4,10.2,24,5,169.2
