Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2017,Utah State,MWC,FR,QB,12,46,165,3.6,2
2018,Utah State,MWC,SO,QB,13,43,63,1.5,7
2019,Utah State,MWC,JR,QB,13,81,175,2.2,0
