Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2018,Nebraska,Big Ten,FR,QB,11,140,629,4.5,8
2019,Nebraska,Big Ten,SO,QB,10,144,626,4.3,7
2020,Nebraska,Big Ten,JR,QB,7,91,521,5.7,7
