Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2017,Alabama,SEC,FR,QB,8,27,133,4.9,2
2018,Alabama,SEC,SO,QB,15,57,190,3.3,5
2019,Alabama,SEC,JR,QB,9,23,17,0.7,2
