Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
2017,Alabama,SEC,FR,QB,8,49,77,63.6,636,8.3,9.9,11,2,175
2018,Alabama,SEC,SO,QB,15,245,355,69,3966,11.2,12.8,43,6,199.4
2019,Alabama,SEC,JR,QB,9,180,252,71.4,2840,11.3,13.4,33,3,206.9
