Year,School,Conf,Class,Pos,G,RushAtt,RushYds,RushAvg,RushTD
2016,Oregon,Pac-12,FR,QB,8,58,161,2.8,2
2017,Oregon,Pac-12,SO,QB,8,44,183,4.2,5
2018,Oregon,Pac-12,JR,QB,13,71,166,2.3,2
2019,Oregon,Pac-12,SR,QB,14,58,50,0.9,4
